give,age,sex,educ,income,trust
910,49,1,1,66000,2.08
0,58,2,2,54000,1.38
300,44,1,1,36000,2.77
80,22,2,1,6000,3.54
1127,88,2,1,72000,3.08
1285,70,1,1,24000,2.23
75,71,2,1,18000,1.85
400,29,2,1,6000,2.46
120,32,1,1,42000,1.62
125,67,2,1,24000,2.23
300,76,1,1,24000,2.31
80,43,1,1,48000,3.15
400,53,1,1,48000,4
5000,55,2,1,54000,2.08
150,38,1,2,12000,2.46
0,77,1,1,6000,2.2
120,45,2,1,48000,1.71
0,60,1,1,18000,2.46
0,38,2,2,48000,2.46
0,32,1,1,18000,2.31
90,40,1,1,60000,2.23
0,43,1,1,30000,2
0,26,2,1,12000,2.46
375,28,2,2,48000,2.46
60,23,2,1,12000,1.92
0,38,1,2,54000,1.92
6575,46,1,1,54000,1.77
2250,52,1,1,72000,2
2450,32,2,1,30000,2.08
0,78,2,1,36000,2.32
10,26,2,2,42000,2.67
275,24,1,1,24000,2.77
